,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
39,CALIFORNIA,2010,"$71,227,111.00","$34,657,275.00","463,691","476,639","5,815,902",nan,nan,nan,nan,"162,821","37,338,198","164,133","981,939",989287.0,2.05%,23.97%,41.90%,0.64%,26.32%,0.75%,30.10%,39.94%,0.78%,4.43%,23.82%
40,CALIFORNIA,2011,"$69,847,705.00","$34,225,248.00","462,082","467,626","5,793,407",234.16,272.77,211.36,261.29,"147,578","37,683,933","154,943","973,822",933253.0,2.01%,22.65%,42.81%,0.70%,27.37%,0.76%,30.15%,40.75%,0.72%,4.68%,22.74%
41,CALIFORNIA,2012,"$70,191,877.00","$34,213,049.00","468,007","465,967","5,803,338",nan,nan,nan,nan,"132,935","37,999,878","160,944","1,049,465",990367.0,2.00%,23.41%,43.27%,0.65%,29.90%,0.95%,30.28%,41.27%,0.79%,4.73%,21.87%
42,CALIFORNIA,2013,"$69,727,119.00","$34,194,878.00","470,515","472,381","5,799,332",233.65,275.90,212.55,260.45,"134,339","38,431,393","154,739","1,018,907",914533.0,1.79%,25.77%,39.83%,0.53%,28.73%,1.01%,30.08%,41.52%,0.73%,5.37%,21.18%
43,CALIFORNIA,2014,"$72,506,810.00","$35,539,425.00","475,192","467,038","5,794,141",nan,nan,nan,nan,"134,430","38,802,500","153,709","947,192",988612.0,2.11%,22.33%,43.00%,0.61%,29.76%,1.07%,29.58%,42.30%,0.72%,5.03%,21.18%
44,CALIFORNIA,2015,"$78,365,958.00","$38,951,948.00","485,885","465,322",nan,231.55,275.32,212.68,258.77,"127,815","39,144,818","166,883","1,024,914",885753.0,1.99%,20.90%,41.52%,0.64%,27.02%,1.16%,30.04%,42.83%,0.69%,4.89%,20.28%
45,COLORADO,2001,"$5,727,966.00","$2,709,184.00","58,028","56,540","689,066",nan,nan,nan,nan,"17,278","4,430,989","15,492","170,887",124753.0,1.08%,23.62%,30.22%,1.12%,57.79%,1.07%,29.00%,26.11%,2.20%,0.00%,41.62%
46,COLORADO,2002,"$6,237,142.00","$2,963,406.00","57,318","57,664","697,990",nan,nan,nan,nan,"18,636","4,501,051","15,882","180,054",130783.0,0.88%,23.73%,23.93%,0.95%,58.86%,1.11%,27.28%,26.52%,2.22%,0.00%,42.87%
47,COLORADO,2003,"$6,685,029.00","$3,168,745.00","56,437","58,897","701,780",235.19,283.40,223.66,266.23,"19,450","4,547,633","15,757","179,706",140473.0,1.14%,21.55%,22.56%,0.75%,58.84%,1.20%,26.73%,27.30%,2.07%,0.00%,42.70%
48,COLORADO,2004,"$6,869,975.00","$3,232,723.00","56,425","59,397","709,008",nan,nan,nan,nan,"19,655","4,601,821","17,121","180,322",168391.0,0.86%,17.85%,24.97%,1.08%,59.13%,1.22%,24.67%,28.95%,1.99%,0.00%,43.17%
49,COLORADO,2005,"$7,284,280.00","$3,380,399.00","57,151","59,929","720,428",239.22,280.82,223.66,266.23,"21,063","4,663,295","18,498","188,449",192002.0,0.81%,18.46%,26.04%,1.09%,61.91%,1.15%,23.67%,29.44%,1.72%,0.00%,44.02%
50,COLORADO,2006,"$7,803,324.00","$3,562,901.00","57,877","59,497","733,104",nan,nan,nan,nan,"22,051","4,753,377","18,794","163,439",192761.0,0.85%,17.39%,24.02%,0.93%,57.61%,1.18%,23.21%,29.76%,1.92%,0.00%,43.92%
51,COLORADO,2007,"$8,039,146.00","$3,782,300.00","59,449","58,396","740,291",240.21,286.19,223.73,251.94,"22,666","4,861,515","17,101","145,808",182938.0,0.93%,17.98%,25.35%,0.92%,55.60%,1.21%,23.81%,30.60%,2.38%,0.00%,42.00%
52,COLORADO,2008,"$8,884,786.00","$4,221,868.00","61,058","58,733","754,458",nan,nan,nan,nan,"23,211","4,939,456","17,480","139,340",185441.0,0.93%,17.76%,26.39%,0.80%,56.32%,1.12%,22.96%,31.01%,2.74%,0.00%,42.17%
53,COLORADO,2009,"$8,682,489.00","$4,108,304.00","62,929","59,129","768,178",243.13,287.37,225.70,259.45,"22,725","5,024,748","17,022","134,196",209434.0,0.61%,18.11%,26.92%,0.77%,55.47%,1.21%,22.82%,31.97%,2.75%,0.00%,41.25%
54,COLORADO,2010,"$8,914,338.00","$4,232,076.00","63,819","59,684","778,134",nan,nan,nan,nan,"22,752","5,047,692","16,339","135,001",117687.0,0.80%,21.44%,25.60%,0.81%,58.75%,1.29%,24.80%,30.93%,2.56%,0.00%,40.43%
55,COLORADO,2011,"$8,676,451.00","$4,204,486.00","64,560","61,156","787,904",244.46,291.74,223.43,260.15,"21,862","5,116,302","16,085","132,781",144983.0,0.68%,20.19%,28.48%,0.76%,62.10%,1.22%,22.68%,31.92%,2.51%,0.00%,41.67%
56,COLORADO,2012,"$8,472,536.00","$4,174,705.00","65,921","62,260","796,610",nan,nan,nan,nan,"20,328","5,189,458","15,951","139,355",143416.0,0.65%,21.16%,28.84%,0.77%,57.81%,1.16%,23.46%,32.07%,2.74%,0.00%,40.56%
57,COLORADO,2013,"$8,699,125.00","$4,292,898.00","66,140","63,820","809,774",246.98,289.68,226.66,261.96,"20,184","5,272,086","16,099","139,974",143157.0,0.78%,20.81%,21.97%,0.65%,58.83%,1.20%,24.14%,30.49%,2.81%,0.00%,41.35%
58,COLORADO,2014,"$9,286,626.00","$4,470,568.00","66,809","65,116","822,938",nan,nan,nan,nan,"20,469","5,355,866","16,554","135,510",159043.0,0.63%,19.88%,24.72%,0.83%,59.92%,1.12%,22.42%,31.05%,2.77%,0.00%,42.65%
59,COLORADO,2015,"$9,557,682.00","$4,578,938.00","68,176","65,957","834,481",241.56,285.54,224.02,258.99,"19,959","5,456,574","17,515","144,136",159957.0,0.61%,19.92%,27.29%,0.96%,56.29%,1.10%,20.87%,30.57%,2.74%,0.00%,44.71%
60,FLORIDA,2001,"$18,389,394.00","$8,412,975.00","196,952","194,250","2,323,253",nan,nan,nan,nan,"72,404","16,373,330","130,713","782,517",385574.0,0.17%,45.28%,13.51%,0.09%,44.21%,0.00%,53.45%,13.01%,0.12%,0.19%,33.24%
61,FLORIDA,2002,"$19,051,049.00","$8,781,232.00","197,625","201,159","2,356,659",nan,nan,nan,nan,"75,210","16,691,701","128,721","777,236",452065.0,0.27%,44.73%,13.01%,0.05%,48.00%,0.00%,53.30%,11.91%,0.07%,0.23%,34.49%
62,FLORIDA,2003,"$20,180,142.00","$9,622,598.00","178,109","205,443","2,395,642",233.73,271.37,218.01,255.32,"79,594","16,999,181","124,280","757,696",427802.0,0.22%,45.52%,10.05%,0.04%,49.42%,0.00%,49.92%,14.01%,0.07%,0.28%,35.72%
63,FLORIDA,2004,"$21,896,220.00","$10,411,050.00","197,293","209,559","2,442,173",nan,nan,nan,nan,"83,165","17,385,430","123,754","727,141",631793.0,0.24%,42.56%,9.90%,0.06%,52.52%,0.00%,52.68%,10.89%,0.09%,0.30%,36.05%
64,FLORIDA,2005,"$23,857,012.00","$11,270,907.00","195,265","208,413","2,471,699",238.93,274.05,219.47,257.69,"86,559","17,768,191","125,957","712,998",491728.0,0.19%,38.78%,10.92%,0.06%,53.53%,0.00%,48.90%,12.07%,0.09%,0.36%,38.58%
65,FLORIDA,2006,"$26,609,155.00","$12,211,602.00","199,686","207,213","2,469,450",nan,nan,nan,nan,"90,377","18,089,888","129,602","721,101",593976.0,0.34%,38.77%,10.27%,0.08%,52.49%,0.00%,49.68%,11.59%,0.12%,0.38%,38.24%
66,FLORIDA,2007,"$29,849,892.00","$13,476,109.00","195,859","193,970","2,469,344",242.02,277.38,223.53,251.29,"95,187","18,251,243","131,878","746,249",579469.0,0.11%,39.09%,14.12%,0.05%,49.66%,0.00%,50.44%,13.67%,0.11%,0.41%,35.36%
67,FLORIDA,2008,"$31,219,589.00","$14,392,625.00","198,129","200,736","2,437,592",nan,nan,nan,nan,"99,878","18,328,340","126,256","758,889",329643.0,0.15%,30.88%,15.18%,0.04%,52.81%,0.00%,43.25%,15.19%,0.09%,0.41%,41.05%
68,FLORIDA,2009,"$28,867,429.00","$13,884,278.00","199,322","198,245","2,438,465",241.94,279.34,225.67,265.51,"101,373","18,537,969","113,541","712,010",237818.0,0.26%,32.14%,11.99%,0.06%,54.71%,0.02%,41.63%,7.71%,0.09%,0.57%,49.99%
69,FLORIDA,2010,"$27,267,009.00","$13,869,921.00","200,682","201,676","2,446,250",nan,nan,nan,nan,"102,070","18,838,613","101,969","669,035",284731.0,0.12%,35.01%,17.72%,0.08%,49.41%,0.00%,44.00%,15.23%,0.09%,0.44%,40.24%
70,FLORIDA,2011,"$26,991,946.00","$14,284,224.00","195,625","200,378","2,464,854",239.83,277.84,224.53,274.68,"100,861","19,082,262","98,198","671,200",226010.0,0.27%,30.76%,9.26%,0.14%,60.53%,0.01%,39.92%,7.50%,0.08%,0.58%,51.91%
71,FLORIDA,2012,"$25,352,047.00","$13,558,844.00","195,358","204,116","2,481,673",nan,nan,nan,nan,"99,835","19,320,749","94,087","632,988",224354.0,0.17%,37.79%,8.63%,0.17%,53.11%,0.00%,43.53%,9.29%,0.09%,0.49%,46.61%
72,FLORIDA,2013,"$25,245,400.00","$13,833,236.00","198,411","206,698","2,511,426",241.68,280.86,227.46,265.98,"100,940","19,600,311","91,993","607,170",249184.0,0.17%,35.31%,10.20%,0.16%,52.18%,0.00%,43.66%,9.71%,0.07%,0.43%,46.13%
73,FLORIDA,2014,"$26,523,658.00","$14,542,370.00","202,424","210,397","2,552,392",nan,nan,nan,nan,"100,873","19,893,297","107,521","679,446",217840.0,0.14%,37.20%,8.29%,0.18%,55.82%,0.00%,42.53%,10.29%,0.10%,0.45%,46.62%
74,FLORIDA,2015,"$27,277,049.00","$14,931,173.00","215,435","206,785","2,592,720",242.66,275.32,227.19,247.65,"99,485","20,271,272","93,626","570,270",157196.0,0.14%,37.30%,7.84%,0.21%,51.85%,0.00%,43.79%,10.76%,0.11%,0.50%,44.84%
75,GEORGIA,2001,"$11,853,800.00","$6,336,556.00","116,886","112,145","1,359,461",nan,nan,nan,nan,"45,937","8,405,677","41,671","347,872",197376.0,0.19%,58.63%,9.26%,0.09%,30.45%,0.20%,65.94%,1.03%,0.06%,0.17%,32.61%
76,GEORGIA,2002,"$12,690,343.00","$6,894,589.00","118,053","116,150","1,381,240",nan,nan,nan,nan,"47,445","8,544,005","39,271","346,559",209884.0,0.12%,62.43%,5.29%,0.04%,31.69%,0.24%,64.74%,1.74%,0.05%,0.26%,32.96%
77,GEORGIA,2003,"$13,516,783.00","$7,352,918.00","117,201","120,694","1,403,762",230.25,269.68,213.60,258.00,"47,208","8,676,460","39,435","369,589",173548.0,0.16%,64.29%,6.78%,0.04%,33.67%,0.23%,62.35%,2.31%,0.03%,0.27%,34.81%
78,GEORGIA,2004,"$13,779,680.00","$7,492,703.00","116,129","122,432","1,430,942",nan,nan,nan,nan,"51,104","8,918,129","40,217","376,656",141724.0,0.44%,48.56%,6.23%,0.03%,39.28%,0.11%,56.84%,2.08%,0.00%,0.13%,40.84%
79,GEORGIA,2005,"$14,492,666.00","$7,886,069.00","119,028","123,678","1,470,064",233.64,272.19,214.43,250.43,"48,749","9,132,553","40,725","378,534",240276.0,0.40%,51.63%,6.75%,0.04%,43.29%,0.14%,55.27%,2.67%,0.00%,0.10%,41.82%
80,GEORGIA,2006,"$15,839,227.00","$8,583,817.00","121,155","126,903","1,498,704",nan,nan,nan,nan,"52,792","9,363,941","44,754","362,712",246170.0,0.31%,53.82%,8.30%,0.13%,42.88%,0.14%,54.89%,3.28%,0.03%,0.08%,41.58%
81,GEORGIA,2007,"$17,389,530.00","$9,507,096.00","125,404","124,544","1,519,798",235.21,274.78,218.89,266.41,"54,256","9,544,750","46,917","371,248",183261.0,0.26%,56.42%,6.18%,0.06%,40.19%,0.10%,57.47%,2.58%,0.02%,0.09%,39.75%
82,GEORGIA,2008,"$19,172,087.00","$10,289,480.00","127,285","123,857","1,526,456",nan,nan,nan,nan,"52,719","9,685,744","47,353","387,917",134914.0,0.18%,52.93%,4.93%,0.07%,47.87%,0.07%,56.47%,2.29%,0.00%,0.07%,41.10%
83,GEORGIA,2009,"$19,025,136.00","$10,063,924.00","130,091","124,084","1,536,360",236.03,277.56,217.85,271.81,"53,538","9,829,211","42,073","360,985",112165.0,0.18%,55.43%,5.47%,0.08%,45.05%,0.03%,56.24%,2.18%,0.00%,0.06%,41.48%
84,GEORGIA,2010,"$17,834,488.00","$9,841,382.00","131,326","123,794","1,545,059",nan,nan,nan,nan,"52,794","9,712,157","39,068","353,449",138516.0,0.20%,52.27%,4.03%,0.06%,48.19%,0.03%,55.01%,2.50%,0.00%,0.05%,42.40%
85,GEORGIA,2011,"$17,187,481.00","$9,671,343.00","128,827","126,785","1,551,644",238.37,278.48,220.81,265.84,"52,844","9,812,460","36,762","357,235",191414.0,0.37%,57.10%,5.12%,0.06%,38.73%,0.10%,61.17%,3.46%,0.05%,0.07%,35.16%
86,GEORGIA,2012,"$17,400,209.00","$9,611,118.00","128,538","128,432","1,566,495",nan,nan,nan,nan,"55,178","9,915,646","37,675","339,473",131949.0,0.28%,52.08%,3.70%,0.08%,46.41%,0.03%,53.57%,2.95%,0.00%,0.04%,43.40%
87,GEORGIA,2013,"$17,317,504.00","$9,555,687.00","129,329","131,295","1,587,251",240.05,279.18,221.84,247.74,"53,701","9,994,759","37,519","339,808",148462.0,0.27%,49.52%,3.86%,0.08%,45.28%,0.08%,56.29%,2.64%,0.00%,0.06%,40.94%
88,GEORGIA,2014,"$17,668,352.00","$9,635,641.00","131,377","133,128","1,610,821",nan,nan,nan,nan,"52,719","10,097,343","38,097","331,316",109102.0,0.06%,44.57%,3.61%,0.08%,49.37%,0.04%,50.64%,3.34%,0.00%,0.09%,45.90%
89,GEORGIA,2015,"$18,501,103.00","$10,081,483.00","134,343","131,509","1,628,449",236.45,278.71,222.01,277.19,"52,002","10,214,860","38,643","308,723",192739.0,0.10%,39.82%,4.14%,0.07%,35.37%,0.11%,63.21%,3.34%,0.00%,0.10%,33.23%
90,ILLINOIS,2001,"$19,337,580.00","$9,317,202.00","159,038","151,737","1,918,427",nan,nan,nan,nan,"44,348","12,520,227","79,270","434,648",190341.0,0.35%,67.95%,11.82%,0.08%,20.37%,0.21%,70.69%,11.39%,0.14%,0.01%,17.56%
91,ILLINOIS,2002,"$20,563,001.00","$9,904,454.00","157,570","156,451","1,932,882",nan,nan,nan,nan,"42,693","12,586,447","75,759","430,479",189824.0,0.41%,68.25%,13.06%,0.06%,20.19%,0.19%,70.59%,12.54%,0.10%,0.01%,16.57%
92,ILLINOIS,2003,"$21,278,177.00","$10,409,933.00","160,246","160,271","1,950,197",232.86,277.16,216.30,267.22,"43,418","12,649,087","70,376","415,885",169410.0,0.46%,67.93%,12.98%,0.06%,18.13%,0.20%,70.49%,12.64%,0.10%,0.01%,16.55%
93,ILLINOIS,2004,"$21,681,903.00","$10,829,189.00","158,622","162,192","1,951,248",nan,nan,nan,nan,"44,054","12,712,016","69,365","403,486",179656.0,0.47%,65.16%,12.94%,0.06%,19.21%,0.24%,69.17%,13.02%,0.07%,0.02%,17.49%
94,ILLINOIS,2005,"$22,035,569.00","$11,063,949.00","154,372","160,911","1,963,519",233.07,277.67,216.49,266.01,"44,919","12,765,427","70,496","394,670",205663.0,0.57%,63.97%,13.81%,0.06%,21.20%,0.32%,68.74%,13.14%,0.12%,0.01%,17.66%
95,ILLINOIS,2006,"$22,622,323.00","$11,327,481.00","153,480","159,038","1,970,836",nan,nan,nan,nan,"45,106","12,831,970","69,498","387,478",185551.0,0.60%,66.30%,14.91%,0.06%,21.34%,0.27%,69.16%,12.89%,0.12%,0.01%,17.55%
